Nombre,Frecuencia,Edad Media (*),Gender,Is_Compound,Percentage,Popularity,Character_Count,Syllable_Count
DARIO,26807,18.7,Male,False,0.1679181234562457,96,5,2
MARCO,26119,15.2,Male,False,0.163608515184604,97,5,2
UNAI,25409,19.1,Male,False,0.1591610996717181,98,4,2
EUGENIO,25260,62.0,Male,False,0.1582277688105631,99,7,3
JAUME,24959,47.0,Male,False,0.1563423151917199,100,5,2
ABEL,24893,33.7,Male,False,0.1559288934679868,101,4,2
GERMAN,24353,45.6,Male,False,0.152546352091989,102,6,2
JONATHAN,24336,29.7,Male,False,0.1524398646783002,103,8,3
AHMED,24257,43.7,Male,False,0.1519450114029228,104,5,2
MIKEL,23957,28.5,Male,False,0.1500658217495907,105,5,2
SERGI,23161,26.9,Male,False,0.1450797052027495,106,5,2
OMAR,22854,27.9,Male,False,0.1431566677908397,107,4,2
CHRISTIAN,22840,25.7,Male,False,0.1430689722736841,108,9,2
MOISES,22821,39.5,Male,False,0.1429499569289731,109,6,2
VALENTIN,22631,55.9,Male,False,0.1417598034818628,110,8,3
POL,22376,16.0,Male,False,0.1401624922765305,111,3,1
JON,21941,26.5,Male,False,0.1374376672791989,112,3,1
IÑIGO,21728,33.9,Male,False,0.1361034426253332,113,5,3
GERARD,21634,23.0,Male,False,0.1355146298672891,114,6,2
ADAM,21068,10.8,Male,False,0.1319692253880025,115,4,2
ARNAU,20801,17.0,Male,False,0.1302967465965369,116,5,2
ADOLFO,20337,57.0,Male,False,0.1273902665993833,117,6,3
OLIVER,19949,14.5,Male,False,0.1249598479810738,118,6,3
ISRAEL,19816,33.5,Male,False,0.1241267405680965,119,6,2
ORIOL,19695,24.7,Male,False,0.1233688007412526,120,5,2
MIQUEL,19333,40.5,Male,False,0.1211012452262318,121,6,2
ERNESTO,19264,51.8,Male,False,0.1206690316059655,122,7,3
JONATAN,18955,33.4,Male,False,0.1187334662630334,123,7,3
ELOY,18649,38.5,Male,False,0.1168166928166346,124,4,2
ISIDRO,18536,60.1,Male,False,0.1161088647138795,125,6,3
GERARDO,18218,56.4,Male,False,0.1141169236813475,126,7,3
BERNARDO,18148,57.9,Male,False,0.11367844609557,127,8,3
BENITO,17972,63.7,Male,False,0.1125759881656152,128,6,3
YOUSSEF,17899,24.6,Male,False,0.1121187186833044,129,7,2
FEDERICO,17559,54.6,Male,False,0.109988970409528,130,8,4
CARMELO,17436,59.6,Male,False,0.1092185026516618,131,7,3
ENZO,17362,5.6,Male,False,0.1087549692038399,132,4,2
SAUL,17294,18.5,Male,False,0.1083290195490846,133,4,1
FRANCESC,17213,48.4,Male,False,0.107821638342685,134,8,2
ALONSO,17075,29.8,Male,False,0.1069572111021522,135,6,3
ADRIA,16988,20.1,Male,False,0.1064122461026859,136,5,2
ROGER,16550,26.7,Male,False,0.103668629208821,137,5,2
MATIAS,16516,38.9,Male,False,0.1034556543814434,138,6,2
ERIK,16486,12.9,Male,False,0.1032677354161102,139,4,2
KEVIN,16437,21.3,Male,False,0.1029608011060659,140,5,2
MARTI,16408,18.6,Male,False,0.1027791461062438,141,5,2
PASCUAL,16210,60.7,Male,False,0.1015388809350446,142,7,2
ELIAS,16193,39.0,Male,False,0.1014323935213558,143,5,2
IÑAKI,15858,40.0,Male,False,0.099333965075135,144,5,3
ANDER,15772,21.3,Male,False,0.0987952640411798,145,5,2
ALEXANDER,15570,29.3,Male,False,0.0975299430079362,146,9,4
GUILLEM,15310,21.9,Male,False,0.0959013119750483,147,7,2
CARLES,15299,39.0,Male,False,0.0958324083544262,148,6,2
BENJAMIN,15235,49.5,Male,False,0.0954315145617153,149,8,3
BARTOLOME,14841,61.4,Male,False,0.0929635121503391,150,9,4
JULEN,14779,16.9,Male,False,0.0925751462886505,151,5,2
PERE,14684,51.8,Male,False,0.0919800695650953,152,4,2
LLUIS,14417,48.1,Male,False,0.0903075907736298,153,5,1
ABRAHAM,14408,25.5,Male,False,0.0902512150840298,154,7,3
ANTONI,14248,49.7,Male,False,0.0892489806022527,155,6,3
FERMIN,14194,59.1,Male,False,0.0889107264646529,156,6,2
ALEIX,14130,17.5,Male,False,0.0885098326719421,157,5,2
MARCELINO,13916,65.3,Male,False,0.0871693440525652,158,9,4
SAID,13901,41.9,Male,False,0.0870753845698985,159,4,1
XABIER,13461,29.3,Male,False,0.0843192397450115,160,6,2
GORKA,13203,30.7,Male,False,0.0827031366431459,161,5,2
FERRAN,13023,31.1,Male,False,0.0815756228511466,162,6,2
JAN,13010,13.8,Male,False,0.0814941912995022,163,3,1
LEONARDO,12993,38.2,Male,False,0.0813877038858134,164,8,3
