nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type
VICTORIANO-m,VICTORIANO,Male,7744,Gandia,0.179,‰,2,municipio
VICTORIANO-m,VICTORIANO,Male,7772,Manises,0.627,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,7777,Massamagrell,0.706,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,7779,Meliana,1.117,‰,13,municipio
VICTORIANO-m,VICTORIANO,Male,7782,Mislata,0.583,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,7785,Montserrat,1.003,‰,11,municipio
VICTORIANO-m,VICTORIANO,Male,7799,Paiporta,0.44,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,7803,Paterna,0.245,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,7817,Requena,0.476,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,7832,Sueca,0.42,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,7893,Medina del Campo,0.606,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,7991,Amorebieta-Etxano,1.037,‰,12,municipio
VICTORIANO-m,VICTORIANO,Male,7998,Barakaldo,0.528,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,7999,Basauri,0.511,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,8002,Bilbao,0.406,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,8007,Durango,0.686,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,8013,Ermua,0.776,‰,9,municipio
VICTORIANO-m,VICTORIANO,Male,8015,Galdakao,0.742,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,8021,Getxo,0.224,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,8026,Leioa,0.376,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,8040,Portugalete,0.328,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,8042,Santurtzi,0.405,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,8044,Sestao,0.368,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,8045,Sopela,0.677,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,8071,Benavente,1.089,‰,12,municipio
VICTORIANO-m,VICTORIANO,Male,8190,Toro,1.47,‰,17,municipio
VICTORIANO-m,VICTORIANO,Male,8451,Ceuta,0.167,‰,2,municipio
VICTORIANO-m,VICTORIANO,Male,8530,Íllora,1.199,‰,13,municipio
VICTORIANO-m,VICTORIANO,Male,8547,Granja de Torrehermosa,5.302,‰,60,municipio
VICTORIANO-m,VICTORIANO,Male,8548,Jerez de los Caballeros,2.899,‰,33,municipio
VICTORIANO-m,VICTORIANO,Male,8568,San Cristóbal de La Laguna,0.453,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,8592,Tarazona,1.121,‰,13,municipio
VICTORIANO-m,VICTORIANO,Male,8596,Pueblonuevo del Guadiana,6.192,‰,70,municipio
VICTORIANO-m,VICTORIANO,Male,16474,Palencia,0.97,‰,11,municipio
VICTORIANO-m,VICTORIANO,Male,16550,Torrent,0.389,‰,4,municipio
