nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
ANTONIO,Male,671,Leitza,10.94,‰,17.0,municipio,Navarra
ANTONIO,Male,673,Quintanilla de Onésimo,11.278,‰,,municipio,
ANTONIO,Male,681,Villabáñez,21.978,‰,6.0,municipio,Valladolid
ANTONIO,Male,688,Villalba de los Alcores,22.727,‰,,municipio,
ANTONIO,Male,690,Villanubla,14.464,‰,22.0,municipio,Valladolid
ANTONIO,Male,692,Villanueva de los Infantes,35.986,‰,,municipio,
ANTONIO,Male,697,"Zarza, La",34.32,‰,,municipio,
ANTONIO,Male,698,Abanto y Ciérvana-Abanto Zierbena,12.782,‰,,municipio,
ANTONIO,Male,701,Bakio,5.727,‰,8.0,municipio,Bizkaia
ANTONIO,Male,703,Berango,8.043,‰,30.0,municipio,Bizkaia
ANTONIO,Male,705,Busturia,12.24,‰,10.0,municipio,Bizkaia
ANTONIO,Male,706,Karrantza Harana/Valle de Carranza,9.187,‰,,municipio,
ANTONIO,Male,707,Etxebarri,10.729,‰,64.0,municipio,Bizkaia
ANTONIO,Male,710,Güeñes,9.846,‰,32.0,municipio,Bizkaia
ANTONIO,Male,711,Gernika-Lumo,4.643,‰,38.0,municipio,Bizkaia
ANTONIO,Male,716,Mallabia,16.863,‰,10.0,municipio,Bizkaia
ANTONIO,Male,717,Markina-Xemein,5.492,‰,14.0,municipio,Bizkaia
ANTONIO,Male,719,Ugao-Miraballes,13.308,‰,28.0,municipio,Bizkaia
ANTONIO,Male,720,Mundaka,5.537,‰,5.0,municipio,Bizkaia
ANTONIO,Male,722,Ondarroa,4.921,‰,20.0,municipio,Bizkaia
ANTONIO,Male,723,Urduña/Orduña,11.075,‰,24.0,municipio,Bizkaia
ANTONIO,Male,724,Plentzia,3.738,‰,8.0,municipio,Bizkaia
ANTONIO,Male,726,Valle de Trápaga-Trapagaran,12.933,‰,,municipio,
ANTONIO,Male,727,Sopuerta,9.346,‰,13.0,municipio,Bizkaia
ANTONIO,Male,729,Bedia,9.346,‰,5.0,municipio,Bizkaia
ANTONIO,Male,730,Igorre,7.583,‰,16.0,municipio,Bizkaia
ANTONIO,Male,731,Zalla,6.155,‰,25.0,municipio,Bizkaia
ANTONIO,Male,732,Derio,6.521,‰,23.0,municipio,Bizkaia
ANTONIO,Male,734,Sondika,7.647,‰,17.0,municipio,Bizkaia
ANTONIO,Male,737,Alonsotegi,10.681,‰,16.0,municipio,Bizkaia
ANTONIO,Male,739,Alcañices,35.294,‰,21.0,municipio,Zamora
ANTONIO,Male,745,Ayoó de Vidriales,49.645,‰,,municipio,
ANTONIO,Male,747,Bermillo de Sayago,16.158,‰,,municipio,
ANTONIO,Male,750,Burganes de Valverde,27.439,‰,,municipio,
ANTONIO,Male,758,Coreses,22.43,‰,12.0,municipio,Zamora
