Nombre,Frecuencia,Edad Media (*),Gender,Percentage,Popularity,Is_Compound,Character_Count,Syllable_Count,Family_Origin
MARIA CARMEN,636109,60.3,Female,2.8708341056404163,1,True,12,4,Español
MARIA,568535,48.3,Female,2.5658647625647086,2,False,5,2,Español
CARMEN,357905,60.5,Female,1.6152670070368964,3,False,6,2,Español
ANA MARIA,268207,54.4,Female,1.210449471665232,4,True,9,4,Español
LAURA,258046,31.6,Female,1.1645916935998184,5,False,5,2,Español
