Nombre,Frecuencia,Edad Media (*),Gender,Percentage,Popularity,Is_Compound,Character_Count,Syllable_Count
DAVID,370270,33.7,Male,1.708058102114815,5,False,5,2
JAVIER,308708,36.1,Male,1.4240721651434365,7,False,6,2
DANIEL,304423,29.5,Male,1.4043054301458346,8,False,6,2
ALEJANDRO,267256,27.8,Male,1.2328537989542685,13,False,9,4
LAURA,258046,31.6,Female,1.1645916935998184,5,False,5,2
MARTA,227834,32.6,Female,1.0282414140099867,12,False,5,2
CRISTINA,226985,37.2,Female,1.0244097779921209,13,False,8,3
PABLO,223789,28.9,Male,1.0323402236588766,19,False,5,2
LUCIA,214434,24.6,Female,0.9677656511838334,15,False,5,2
SERGIO,209553,31.4,Male,0.966669455998233,22,False,6,2
JORGE,193979,36.9,Male,0.894826484970777,25,False,5,2
ALBERTO,178696,39.7,Male,0.8243258989804978,27,False,7,3
PAULA,175287,22.1,Female,0.7910906745155181,21,False,5,2
SARA,175133,26.9,Female,0.7903956545546802,22,False,4,2
ALVARO,165999,24.3,Male,0.7657545490937886,28,False,6,3
ELENA,160887,38.6,Female,0.7261017950605473,23,False,5,3
ADRIAN,160291,21.7,Male,0.7394235051343229,30,False,6,2
DIEGO,155468,33.3,Male,0.7171749723703945,31,False,5,2
RAQUEL,147490,39.6,Female,0.6656395715842804,25,False,6,2
RAUL,141542,34.5,Male,0.6529342368799391,33,False,4,1
IVAN,136367,28.4,Male,0.6290619256517972,34,False,4,2
RUBEN,130060,30.4,Male,0.5999676904989678,35,False,5,2
JULIA,127083,38.5,Female,0.5735404005400034,32,False,5,2
OSCAR,123375,37.4,Male,0.5691297386999089,37,False,5,2
ALBA,122286,19.3,Female,0.5518909800715663,34,False,4,2
SILVIA,120320,39.5,Female,0.5430181927793112,35,False,6,2
IRENE,117979,28.7,Female,0.5324529867512497,37,False,5,3
PATRICIA,112197,35.3,Female,0.5063581464034274,38,False,8,3
ROCIO,109029,31.8,Female,0.4920605929233339,41,False,5,2
ANDREA,108829,25.4,Female,0.4911579695975703,42,False,6,2
MARIO,108579,26.0,Male,0.5008756871189253,44,False,5,2
VICTOR,106212,32.3,Male,0.4899566995484881,45,False,6,2
SANDRA,98016,33.0,Female,0.4423576394901676,49,False,6,2
MARINA,97899,33.9,Female,0.441829604844596,51,False,6,3
MARCOS,96470,26.6,Male,0.4450167853485731,49,False,6,2
NATALIA,94887,31.2,Female,0.428236097558598,54,False,7,3
HUGO,92792,12.3,Male,0.42805014560034,52,False,4,2
SOFIA,88326,18.9,Female,0.3986255393569269,57,False,5,2
CLAUDIA,86034,18.6,Female,0.3882814760436774,58,False,7,2
CARLA,82477,15.4,Female,0.3722283201949738,61,False,5,2
EVA,81731,35.3,Female,0.3688615351898761,62,False,3,2
NOELIA,74133,31.3,Female,0.3345708750441213,67,False,6,2
MARC,73307,22.5,Male,0.3381657041935093,58,False,4,1
GUILLERMO,73180,35.1,Male,0.3375798523044322,59,False,9,3
MOHAMED,72795,35.7,Male,0.3358038446091985,60,False,7,3
GABRIEL,72447,37.0,Male,0.3341985181729872,61,False,7,2
VERONICA,71776,37.0,Female,0.3239334591499987,69,False,8,4
MARTIN,70905,25.5,Male,0.327085261378051,62,False,6,2
GONZALO,69409,31.4,Male,0.3201842029051426,63,False,7,3
DANIELA,68928,15.4,Female,0.3110801029911267,70,False,7,3
