Nombre,Frecuencia,Edad Media (*),Gender,Percentage,Popularity,Is_Compound,Character_Count,Syllable_Count,Family_Origin
CIDALIA,36,49.1,Female,0.0001624721986374,16349,False,7,3,Portugués
ANA CONSUELO,210,51.2,Female,0.0009477544920516,3925,True,12,5,Español
ISAIAS ANTONIO,27,45.9,Male,0.0001245511890163,21154,True,14,5,Español
