Nombre,Frecuencia,Edad Media (*),Gender
JOSEP MARIA,15189,59.5,Male
CARLOS ALBERTO,15188,46.2,Male
MARCO ANTONIO,15043,41.9,Male
BARTOLOME,14841,61.4,Male
JULEN,14779,16.9,Male
PEDRO ANTONIO,14756,50.7,Male
PERE,14684,51.8,Male
JOSE ENRIQUE,14491,50.2,Male
LLUIS,14417,48.1,Male
ABRAHAM,14408,25.5,Male
ANTONI,14248,49.7,Male
FERMIN,14194,59.1,Male
ALEIX,14130,17.5,Male
ANGEL LUIS,14074,51.0,Male
JUAN IGNACIO,14051,49.8,Male
MARCELINO,13916,65.3,Male
SAID,13901,41.9,Male
FRANCISCO JESUS,13553,41.4,Male
XABIER,13461,29.3,Male
GORKA,13203,30.7,Male
FERRAN,13023,31.1,Male
JAN,13010,13.8,Male
LEONARDO,12993,38.2,Male
LUIS FERNANDO,12974,49.0,Male
AURELIO,12950,63.7,Male
GUSTAVO,12751,44.7,Male
RACHID,12742,41.4,Male
ROMAN,12692,45.6,Male
YERAY,12687,18.8,Male
JERONIMO,12466,55.0,Male
MANUEL ANGEL,12418,51.7,Male
IAN,12338,12.2,Male
LUIS MANUEL,12319,47.3,Male
JOSE JUAN,12298,51.9,Male
DAMIAN,12237,40.9,Male
CARLOS JAVIER,12176,44.4,Male
ALI,12130,35.0,Male
JOSE DAVID,11895,35.2,Male
JACINTO,11892,63.6,Male
EUSEBIO,11680,64.4,Male
PEDRO LUIS,11550,52.5,Male
ENRIC,11486,43.4,Male
LUCA,11470,11.8,Male
VICTORIANO,11225,65.7,Male
ARMANDO,11180,54.0,Male
JAIRO,11109,24.2,Male
GAEL,11108,6.3,Male
DYLAN,11080,6.2,Male
ENEKO,11071,21.4,Male
JUAN BAUTISTA,10973,59.0,Male
BIEL,10942,10.2,Male
ISIDORO,10872,63.4,Male
NIL,10853,11.6,Male
EDUARD,10838,37.0,Male
THIAGO,10799,5.5,Male
JULIO CESAR,10776,46.6,Male
JOSE JOAQUIN,10730,51.6,Male
BLAS,10633,59.1,Male
MUSTAPHA,10620,44.1,Male
GINES,10474,54.1,Male
EDGAR,10448,26.2,Male
JUAN MARIA,10371,55.9,Male
SANTOS,10280,61.1,Male
TEODORO,10225,66.3,Male
FRANCISCO ANTONIO,10210,49.8,Male
DIONISIO,10188,65.0,Male
CANDIDO,10062,64.6,Male
JUSTO,10023,63.7,Male
EMILIO JOSE,9970,41.5,Male
SIMON,9865,39.0,Male
JOSE ANDRES,9857,48.5,Male
FLORENCIO,9796,66.8,Male
LUIS ANGEL,9675,49.7,Male
LUIS ANTONIO,9662,52.3,Male
JESUS ANGEL,9586,51.5,Male
JACOBO,9555,29.9,Male
MAXIMO,9543,52.0,Male
EMILIANO,9535,62.1,Male
ALEXIS,9442,28.3,Male
IGOR,9338,39.0,Male
YAGO,9244,15.4,Male
LUIS MARIA,9133,58.8,Male
SERAFIN,9118,62.7,Male
EZEQUIEL,9111,34.5,Male
HASSAN,9059,43.3,Male
ALEXANDRE,8992,32.5,Male
MUHAMMAD,8883,34.4,Male
JUAN DIEGO,8808,35.2,Male
AYOUB,8757,17.7,Male
FAUSTINO,8736,65.4,Male
IBAI,8730,15.9,Male
MAURO,8730,20.6,Male
FRANCISCO MIGUEL,8729,46.1,Male
RAYAN,8696,8.0,Male
HAMZA,8693,21.1,Male
RAMIRO,8676,58.4,Male
MANUEL ANTONIO,8671,52.1,Male
FIDEL,8665,59.6,Male
CLAUDIO,8629,54.3,Male
JORGE LUIS,8620,44.6,Male
ANDREU,8616,31.6,Male
PEDRO MANUEL,8564,48.3,Male
JOSE DANIEL,8470,38.4,Male
AMADOR,8420,61.2,Male
IAGO,8374,17.7,Male
JOSE FERNANDO,8301,52.0,Male
ARITZ,8288,20.7,Male
AIMAR,8200,12.0,Male
CARLOS MANUEL,8035,45.5,Male
ROGELIO,8023,61.7,Male
ION,8004,43.1,Male
LUCIANO,7991,60.9,Male
JUAN ANDRES,7981,46.4,Male
KHALID,7981,38.1,Male
JUAN DIOS,7973,52.1,Male
ALAN,7932,18.8,Male
JOSUE,7826,28.9,Male
JUAN VICENTE,7815,52.9,Male
ANTONIO JAVIER,7790,43.9,Male
MANUEL JOSE,7778,51.9,Male
CAYETANO,7770,41.9,Male
JOAQUIM,7762,52.0,Male
BILAL,7716,19.7,Male
LEANDRO,7657,48.2,Male
ANTONIO MIGUEL,7649,47.7,Male
LUIS JAVIER,7551,49.2,Male
ILDEFONSO,7532,60.5,Male
LUIS CARLOS,7504,49.1,Male
FABIO,7490,22.7,Male
FABIAN,7439,35.4,Male
ANTONIO LUIS,7430,50.4,Male
ABDELLAH,7402,41.2,Male
MARKEL,7311,13.4,Male
PEDRO JESUS,7277,45.3,Male
MODESTO,7273,65.4,Male
MANEL,7194,34.5,Male
NESTOR,7147,33.3,Male
HICHAM,7099,35.3,Male
FLORENTINO,7062,67.4,Male
PEDRO MARIA,7045,60.9,Male
ROBERT,7024,40.2,Male
FRANCESC XAVIER,6904,51.3,Male
ANGEL MANUEL,6883,46.9,Male
OIER,6879,15.9,Male
JUAN ANGEL,6875,51.1,Male
CONSTANTINO,6799,61.8,Male
PAULINO,6786,64.9,Male
IMANOL,6731,33.4,Male
BRAIS,6717,17.4,Male
ELADIO,6676,64.5,Male
MARCELO,6667,44.7,Male
IBRAHIM,6606,21.1,Male
AVELINO,6605,66.2,Male
LIAM,6598,5.0,Male
CELESTINO,6564,65.8,Male
ANAS,6538,12.4,Male
YASSINE,6494,24.3,Male
ABDELKADER,6466,48.2,Male
BRAHIM,6448,38.9,Male
RICARD,6379,40.6,Male
NOEL,6344,20.9,Male
ANDONI,6329,34.0,Male
LUIS ENRIQUE,6325,44.8,Male
SATURNINO,6274,68.8,Male
BERNAT,6265,25.1,Male
GASPAR,6204,57.6,Male
JUAN ALBERTO,6176,45.0,Male
FERNANDO JOSE,6151,45.8,Male
VASILE,6149,48.3,Male
JOSU,6138,35.7,Male
DIDAC,6125,19.8,Male
GHEORGHE,6116,50.8,Male
RUFINO,6112,67.0,Male
ROBERTO CARLOS,6045,39.6,Male
JESUS ANTONIO,6020,52.8,Male
AXEL,5977,13.0,Male
JUAN DAVID,5954,27.2,Male
ANTON,5914,24.5,Male
NOAH,5878,6.9,Male
MARCEL,5872,30.8,Male
CLEMENTE,5818,61.8,Male
JOSEBA,5765,38.3,Male
ANGEL MARIA,5749,57.5,Male
ABDELAZIZ,5736,45.1,Male
MAX,5693,11.1,Male
BASILIO,5689,61.6,Male
ABDERRAHIM,5675,40.1,Male
AMIR,5650,8.5,Male
RAIMUNDO,5634,61.5,Male
ADAN,5575,22.6,Male
PEDRO PABLO,5542,49.9,Male
KARIM,5514,30.3,Male
MICHAEL,5457,38.0,Male
MANUEL ALEJANDRO,5433,34.1,Male
IOAN,5388,50.2,Male
FELICIANO,5381,66.7,Male
HILARIO,5367,64.9,Male
ANTONIO FRANCISCO,5351,49.8,Male
MAURICIO,5347,47.9,Male
EVARISTO,5304,63.9,Male
HAMID,5287,43.4,Male
MARCIAL,5250,61.9,Male
FRANCISCO LUIS,5222,51.6,Male
ALAIN,5207,24.1,Male
PATRICIO,5203,54.4,Male
ISMAIL,5181,23.4,Male
BRIAN,5142,26.5,Male
PELAYO,5137,21.7,Male
ELISEO,5134,61.5,Male
ZAKARIA,5133,18.1,Male
PEDRO JAVIER,5130,43.3,Male
MAMADOU,5109,36.5,Male
LAUREANO,5049,63.7,Male
CARLOS JOSE,5042,46.1,Male
ROQUE,4987,43.7,Male
NARCISO,4986,63.4,Male
CAMILO,4966,54.1,Male
LLUC,4866,12.3,Male
LEOPOLDO,4842,59.7,Male
TEO,4841,8.0,Male
CECILIO,4832,63.6,Male
BERNARDINO,4831,64.3,Male
BENIGNO,4830,66.9,Male
JOSE GABRIEL,4792,45.2,Male
PAUL,4788,35.4,Male
PEDRO MIGUEL,4774,48.8,Male
FRANCISCO BORJA,4758,40.1,Male
DENIS,4743,22.3,Male
MOUSSA,4722,34.8,Male
ELOI,4702,20.4,Male
CONSTANTIN,4701,47.9,Male
JAMAL,4667,39.3,Male
SEGUNDO,4642,68.4,Male
FRANCISCO ASIS,4606,47.9,Male
JOSE RAFAEL,4566,51.5,Male
JOSE FELIX,4545,54.2,Male
JESUS MIGUEL,4544,47.9,Male
VALERIANO,4514,65.3,Male
JOSE ALEJANDRO,4511,37.2,Male
OCTAVIO,4497,54.5,Male
RODOLFO,4495,57.7,Male
DEMETRIO,4453,65.5,Male
MARIAN,4450,43.8,Male
JOSE PEDRO,4444,51.8,Male
CESAREO,4427,65.7,Male
LUIS FRANCISCO,4424,48.6,Male
AZIZ,4422,40.0,Male
BEÑAT,4380,19.6,Male
DRISS,4360,46.4,Male
MANUEL FRANCISCO,4358,52.8,Male
ADAY,4334,12.1,Male
AYMAN,4318,11.4,Male
ALBERTO JOSE,4313,44.6,Male
ABDESLAM,4306,51.5,Male
ALESSANDRO,4306,28.2,Male
BERNABE,4265,56.9,Male
IGNASI,4247,37.5,Male
LAZARO,4234,54.4,Male
CARLOS ENRIQUE,4195,48.2,Male
SAMIR,4188,32.5,Male
NABIL,4187,27.6,Male
KILIAN,4186,15.2,Male
JUAN ENRIQUE,4172,50.2,Male
BIENVENIDO,4167,63.4,Male
GUSTAVO ADOLFO,4163,44.7,Male
NOE,4145,24.4,Male
PABLO JOSE,4144,38.9,Male
JESUS JAVIER,4140,48.5,Male
LUCIO,4138,64.1,Male
UNAX,4133,10.8,Male
JOSE DOMINGO,4122,52.7,Male
BALTASAR,4117,60.5,Male
IMRAN,4106,11.9,Male
YASSIN,4098,17.6,Male
NICOLAE,4086,46.8,Male
YOUNES,4069,24.0,Male
ANIBAL,4061,40.6,Male
CIPRIANO,4060,67.2,Male
VICENT,4052,32.4,Male
ANSELMO,4047,63.9,Male
VICTOR JOSE,4045,42.0,Male
ADIL,4034,32.9,Male
FLORIN,4024,40.9,Male
JORGE JUAN,4021,48.4,Male
JUAN GABRIEL,4015,39.6,Male
ANASTASIO,4008,69.0,Male
IBON,3992,32.0,Male
ORLANDO,3989,51.1,Male
LUIS EDUARDO,3988,41.3,Male
AMADEO,3982,62.0,Male
MARCOS ANTONIO,3979,43.8,Male
LUIS ALFONSO,3964,48.5,Male
ALEJANDRO JOSE,3911,33.3,Male
JUAN FERNANDO,3897,48.3,Male
CELSO,3894,62.4,Male
IBAN,3889,38.3,Male
PLACIDO,3867,63.6,Male
VICENTE JOSE,3858,52.1,Male
JOSE PABLO,3818,45.2,Male
ROC,3798,10.5,Male
FULGENCIO,3796,62.7,Male
EDUARDO JOSE,3778,43.5,Male
EULOGIO,3770,66.1,Male
CARLOS ANDRES,3744,35.6,Male
ALEXANDRU,3737,36.0,Male
CARLOS ANTONIO,3737,46.7,Male
ANDRES FELIPE,3724,28.7,Male
CASIMIRO,3690,67.6,Male
GAIZKA,3686,29.0,Male
BALDOMERO,3631,62.2,Male
TEOFILO,3629,69.0,Male
MAXIMILIANO,3616,46.9,Male
NORBERTO,3609,54.8,Male
YOEL,3607,14.5,Male
YAHYA,3605,22.9,Male
JOSE TOMAS,3603,51.0,Male
JESUS ALBERTO,3591,43.4,Male
HERMINIO,3579,65.4,Male
JOSE JESUS,3560,52.9,Male
NACHO,3555,10.6,Male
JUAN SEBASTIAN,3541,31.7,Male
MIGUEL ANTONIO,3537,49.6,Male
ANTONIO MARIA,3519,56.2,Male
ANTONIO DAVID,3505,31.1,Male
MAXIMINO,3504,66.3,Male
BELTRAN,3489,13.4,Male
ANXO,3477,16.2,Male
NOUREDDINE,3461,41.4,Male
JOSE EDUARDO,3455,49.2,Male
EDER,3446,18.2,Male
OUSSAMA,3446,20.4,Male
ERICK,3405,9.9,Male
IBRAHIMA,3401,34.2,Male
VIDAL,3381,59.7,Male
JOSE ALFONSO,3373,53.0,Male
ANDREI,3349,30.3,Male
LUIS FELIPE,3348,44.7,Male
JOSE EMILIO,3338,54.7,Male
MARINO,3334,61.1,Male
AQUILINO,3325,63.9,Male
ENRIQUE JOSE,3317,48.5,Male
STEFAN,3317,42.1,Male
PEDRO ANGEL,3312,50.0,Male
BRYAN,3303,17.4,Male
ALEJO,3289,39.1,Male
ISAIAS,3286,44.8,Male
ANGEL JOSE,3282,50.9,Male
LUKA,3279,6.6,Male
NEIZAN,3273,5.0,Male
WALID,3269,15.4,Male
FRANCISCO RAMON,3245,51.6,Male
GIOVANNI,3238,35.1,Male
LEON,3235,30.9,Male
MELCHOR,3234,60.4,Male
GUMERSINDO,3233,66.8,Male
LANDER,3228,23.6,Male
MARIUS,3228,38.4,Male
CESAR AUGUSTO,3218,44.8,Male
DIEGO JOSE,3204,37.4,Male
ILYAS,3194,11.7,Male
CARLOS EDUARDO,3183,38.3,Male
MIMOUN,3177,48.4,Male
RICHARD,3161,39.4,Male
JOSE RAUL,3160,45.0,Male
HIPOLITO,3158,66.1,Male
BONIFACIO,3152,67.9,Male
JOSE JULIAN,3147,51.9,Male
ROSENDO,3145,62.1,Male
MIHAI,3143,43.4,Male
ACHRAF,3140,19.1,Male
VICTOR HUGO,3129,41.8,Male
JORGE ANTONIO,3121,45.4,Male
XAVI,3120,9.9,Male
JORGE MANUEL,3111,44.6,Male
MARK,3111,21.8,Male
VICTORINO,3103,69.4,Male
AUGUSTO,3098,56.3,Male
PEDRO JUAN,3097,54.3,Male
ARKAITZ,3090,32.3,Male
VIRGILIO,3089,64.4,Male
MOURAD,3084,35.1,Male
KAMAL,3079,34.1,Male
EMMANUEL,3077,25.1,Male
ARSENIO,3072,65.9,Male
ENDIKA,3067,27.1,Male
JOSE GREGORIO,3063,47.1,Male
OLEKSANDR,3054,40.3,Male
TONI,3041,17.7,Male
JOSE RICARDO,3035,51.5,Male
ABDELILAH,3034,36.6,Male
FERNANDO JAVIER,3031,47.5,Male
ABDELLATIF,3026,42.5,Male
LUIS JOSE,3007,48.7,Male
URKO,3006,24.3,Male
JUAN RAFAEL,3005,50.1,Male
JON ANDER,3002,32.0,Male
AMINE,2985,21.9,Male
HIGINIO,2983,65.3,Male
ELEUTERIO,2975,68.5,Male
JOSE AGUSTIN,2972,54.8,Male
GENIS,2971,23.6,Male
JACOB,2971,30.3,Male
OIHAN,2971,10.3,Male
CARLOS JESUS,2968,43.6,Male
ANGEL ANTONIO,2965,50.2,Male
ARAN,2963,7.4,Male
HERNAN,2956,26.1,Male
YERAI,2954,14.1,Male
ROI,2952,14.4,Male
MANUEL MARIA,2945,54.9,Male
MOSTAFA,2929,45.4,Male
JOHN,2921,50.6,Male
JOSE BENITO,2905,60.9,Male
ABDERRAHMAN,2904,39.3,Male
TELMO,2899,16.3,Male
RUBEN DARIO,2892,41.6,Male
ABELARDO,2889,61.3,Male
MATTEO,2866,19.5,Male
URBANO,2829,67.0,Male
TARIK,2828,33.1,Male
ARTUR,2822,30.9,Male
VLADIMIR,2818,43.7,Male
EFREN,2809,33.6,Male
JUAN CRUZ,2794,54.2,Male
EKAITZ,2789,19.9,Male
CEFERINO,2779,66.5,Male
AMIN,2775,14.5,Male
SOUFIANE,2775,25.4,Male
MOHAMMAD,2765,42.2,Male
SEVERINO,2761,68.0,Male
CARLOS MIGUEL,2747,45.2,Male
VENANCIO,2744,66.9,Male
IMAD,2741,24.7,Male
FRANCESCO,2732,39.0,Male
LAHCEN,2723,43.3,Male
JULIO ALBERTO,2722,39.9,Male
DUMITRU,2711,48.4,Male
QUIM,2711,11.0,Male
HUMBERTO,2706,51.0,Male
PABLO ANTONIO,2698,42.5,Male
ANDREA,2696,37.4,Male
SALAH,2692,44.1,Male
ABDELKARIM,2684,36.8,Male
VOLODYMYR,2681,46.1,Male
NICO,2661,6.8,Male
DEREK,2658,15.0,Male
