nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
VICTORIANO-m,VICTORIANO,Male,484,Logroño,0.561,‰,40,municipio,La Rioja
VICTORIANO-m,VICTORIANO,Male,485,Málaga,0.327,‰,,municipio,"Guadalajara, Málaga"
VICTORIANO-m,VICTORIANO,Male,486,Ourense,0.253,‰,12,municipio,Ourense
VICTORIANO-m,VICTORIANO,Male,487,Pontevedra,0.458,‰,18,municipio,Pontevedra
VICTORIANO-m,VICTORIANO,Male,488,Salamanca,1.106,‰,72,municipio,Salamanca
VICTORIANO-m,VICTORIANO,Male,489,Santander,0.688,‰,55,municipio,Cantabria
VICTORIANO-m,VICTORIANO,Male,490,Soria,0.573,‰,11,municipio,Soria
VICTORIANO-m,VICTORIANO,Male,491,Tarragona,0.247,‰,17,municipio,Tarragona
VICTORIANO-m,VICTORIANO,Male,492,Teruel,0.634,‰,11,municipio,Teruel
VICTORIANO-m,VICTORIANO,Male,493,Valencia,0.309,‰,,municipio,"Badajoz, Cáceres, Valencia/València, León"
VICTORIANO-m,VICTORIANO,Male,494,Zaragoza,0.314,‰,104,municipio,Zaragoza
VICTORIANO-m,VICTORIANO,Male,495,Valladolid,0.555,‰,78,municipio,Valladolid
VICTORIANO-m,VICTORIANO,Male,541,Utebo,0.53,‰,5,municipio,Zaragoza
VICTORIANO-m,VICTORIANO,Male,559,Albacete,0.294,‰,25,municipio,Albacete
VICTORIANO-m,VICTORIANO,Male,560,Almería,0.255,‰,25,municipio,Almería
VICTORIANO-m,VICTORIANO,Male,561,Ávila,0.604,‰,17,municipio,Ávila
VICTORIANO-m,VICTORIANO,Male,562,Badajoz,1.066,‰,78,municipio,Badajoz
VICTORIANO-m,VICTORIANO,Male,563,Barcelona,0.228,‰,183,municipio,Barcelona
VICTORIANO-m,VICTORIANO,Male,564,Burgos,0.464,‰,39,municipio,Burgos
VICTORIANO-m,VICTORIANO,Male,565,Ciudad Real,0.865,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,566,Cuenca,0.748,‰,,municipio,"Cuenca, Valladolid"
VICTORIANO-m,VICTORIANO,Male,567,Girona,0.292,‰,15,municipio,Girona
VICTORIANO-m,VICTORIANO,Male,568,Granada,0.371,‰,,municipio,"Huelva, Barcelona, Granada"
VICTORIANO-m,VICTORIANO,Male,569,León,0.466,‰,26,municipio,León
VICTORIANO-m,VICTORIANO,Male,570,Lugo,0.457,‰,21,municipio,Lugo
VICTORIANO-m,VICTORIANO,Male,571,Vitoria-Gasteiz,0.575,‰,72,municipio,Araba/Álava
VICTORIANO-m,VICTORIANO,Male,572,Donostia/San Sebastián,0.381,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,638,Zamora,0.943,‰,26,municipio,Zamora
VICTORIANO-m,VICTORIANO,Male,697,"Zarza, La",4.142,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,707,Etxebarri,0.838,‰,5,municipio,Bizkaia
VICTORIANO-m,VICTORIANO,Male,785,Sagunto/Sagunt,0.486,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,795,Utiel,0.861,‰,5,municipio,Valencia/València
VICTORIANO-m,VICTORIANO,Male,833,Laguna de Duero,0.618,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,876,"Puebla de Montalbán, La",1.475,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,887,Talavera de la Reina,0.685,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,888,Toledo,0.487,‰,20,municipio,Toledo
VICTORIANO-m,VICTORIANO,Male,929,Bétera,0.582,‰,8,municipio,Valencia/València
VICTORIANO-m,VICTORIANO,Male,932,Burjassot,0.709,‰,14,municipio,Valencia/València
VICTORIANO-m,VICTORIANO,Male,1133,Real Sitio de San Ildefonso,1.966,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1150,Dos Hermanas,0.175,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1155,Huévar del Aljarafe,3.474,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1167,"Rinconada, La",0.451,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1172,Utrera,0.349,‰,9,municipio,Sevilla
VICTORIANO-m,VICTORIANO,Male,1176,"Viso del Alcor, El",0.626,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1235,Camargo,0.471,‰,7,municipio,Cantabria
VICTORIANO-m,VICTORIANO,Male,1354,Santa Marta de Tormes,0.703,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1391,Arona,0.158,‰,7,municipio,Santa
VICTORIANO-m,VICTORIANO,Male,1398,Icod de los Vinos,0.5,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1400,"Orotava, La",0.91,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1402,"Realejos, Los",0.323,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1406,Santa Úrsula,0.666,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1407,"Sauzal, El",1.735,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1408,Tacoronte,0.486,‰,6,municipio,Santa
VICTORIANO-m,VICTORIANO,Male,1412,Baztan,1.759,‰,7,municipio,Navarra
VICTORIANO-m,VICTORIANO,Male,1422,Burlada/Burlata,0.69,‰,7,municipio,Navarra
VICTORIANO-m,VICTORIANO,Male,1432,"Oliva, La",0.587,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1433,"Palmas de Gran Canaria, Las",0.281,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1434,San Bartolomé de Tirajana,0.313,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1435,Santa Lucía de Tirajana,0.619,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1438,Alba de Tormes,2.323,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1477,Ciudad Rodrigo,2.117,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1524,Oviedo,0.353,‰,36,municipio,Asturias
VICTORIANO-m,VICTORIANO,Male,1608,Roquetas de Mar,0.32,‰,,municipio,
VICTORIANO-m,VICTORIANO,Male,1631,Tarazona de la Mancha,2.855,‰,,municipio,
