nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
CARLOS-m,CARLOS,Male,461,Oteiza,12.072,‰,6,municipio,Navarra
CARLOS-m,CARLOS,Male,462,Cendea de Olza/Oltza Zendea,10.834,‰,,municipio,
CARLOS-m,CARLOS,Male,465,Murchante,12.116,‰,26,municipio,Navarra
CARLOS-m,CARLOS,Male,467,Murillo el Cuende,16.0,‰,,municipio,
CARLOS-m,CARLOS,Male,468,Murillo el Fruto,13.699,‰,,municipio,
CARLOS-m,CARLOS,Male,472,Obanos,17.738,‰,8,municipio,Navarra
CARLOS-m,CARLOS,Male,474,Ochagavía/Otsagabia,18.727,‰,5,municipio,Navarra
CARLOS-m,CARLOS,Male,478,Olazti/Olazagutía,8.065,‰,6,municipio,Navarra
CARLOS-m,CARLOS,Male,480,Olite/Erriberri,16.37,‰,34,municipio,Navarra
CARLOS-m,CARLOS,Male,481,Monteagudo,14.21,‰,,municipio,"Soria, Navarra, Cuenca, Teruel"
CARLOS-m,CARLOS,Male,484,Logroño,12.783,‰,911,municipio,La Rioja
CARLOS-m,CARLOS,Male,485,Málaga,12.062,‰,,municipio,"Guadalajara, Málaga"
CARLOS-m,CARLOS,Male,486,Ourense,13.779,‰,654,municipio,Ourense
CARLOS-m,CARLOS,Male,487,Pontevedra,16.072,‰,631,municipio,Pontevedra
CARLOS-m,CARLOS,Male,488,Salamanca,15.113,‰,984,municipio,Salamanca
CARLOS-m,CARLOS,Male,489,Santander,14.474,‰,1157,municipio,Cantabria
CARLOS-m,CARLOS,Male,490,Soria,15.107,‰,290,municipio,Soria
CARLOS-m,CARLOS,Male,491,Tarragona,9.87,‰,678,municipio,Tarragona
CARLOS-m,CARLOS,Male,492,Teruel,20.234,‰,351,municipio,Teruel
CARLOS-m,CARLOS,Male,493,Valencia,16.402,‰,,municipio,"Badajoz, Cáceres, Valencia/València, León"
CARLOS-m,CARLOS,Male,494,Zaragoza,15.386,‰,5091,municipio,Zaragoza
CARLOS-m,CARLOS,Male,495,Valladolid,16.387,‰,2301,municipio,Valladolid
CARLOS-m,CARLOS,Male,498,Lerín,18.299,‰,17,municipio,Navarra
CARLOS-m,CARLOS,Male,503,Lodosa,10.396,‰,26,municipio,Navarra
CARLOS-m,CARLOS,Male,505,Lumbier,8.584,‰,6,municipio,Navarra
CARLOS-m,CARLOS,Male,509,Marcilla,10.855,‰,,municipio,"Palencia, Navarra"
CARLOS-m,CARLOS,Male,511,Mendavia,24.446,‰,43,municipio,Navarra
CARLOS-m,CARLOS,Male,513,Mendigorría,9.346,‰,6,municipio,Navarra
CARLOS-m,CARLOS,Male,514,Milagro,9.73,‰,18,municipio,Navarra
CARLOS-m,CARLOS,Male,518,Ateca,10.045,‰,9,municipio,Zaragoza
CARLOS-m,CARLOS,Male,521,Belchite,11.734,‰,9,municipio,Zaragoza
CARLOS-m,CARLOS,Male,523,Biota,31.026,‰,13,municipio,Zaragoza
CARLOS-m,CARLOS,Male,524,Boquiñeni,13.193,‰,5,municipio,Zaragoza
CARLOS-m,CARLOS,Male,526,Brea de Aragón,19.355,‰,,municipio,
CARLOS-m,CARLOS,Male,528,Sástago,18.149,‰,10,municipio,Zaragoza
CARLOS-m,CARLOS,Male,531,Sobradiel,16.334,‰,9,municipio,Zaragoza
CARLOS-m,CARLOS,Male,541,Utebo,16.319,‰,154,municipio,Zaragoza
CARLOS-m,CARLOS,Male,548,Villafranca de Ebro,18.648,‰,,municipio,
CARLOS-m,CARLOS,Male,550,Villanueva de Gállego,16.729,‰,,municipio,
CARLOS-m,CARLOS,Male,552,Villarroya de la Sierra,22.727,‰,,municipio,
CARLOS-m,CARLOS,Male,554,Zuera,18.502,‰,82,municipio,Zaragoza
CARLOS-m,CARLOS,Male,559,Albacete,16.317,‰,1388,municipio,Albacete
CARLOS-m,CARLOS,Male,560,Almería,8.762,‰,860,municipio,Almería
CARLOS-m,CARLOS,Male,561,Ávila,16.629,‰,468,municipio,Ávila
CARLOS-m,CARLOS,Male,562,Badajoz,15.448,‰,1130,municipio,Badajoz
CARLOS-m,CARLOS,Male,563,Barcelona,12.194,‰,9804,municipio,Barcelona
CARLOS-m,CARLOS,Male,564,Burgos,14.523,‰,1220,municipio,Burgos
CARLOS-m,CARLOS,Male,565,Ciudad Real,19.73,‰,,municipio,
CARLOS-m,CARLOS,Male,566,Cuenca,18.261,‰,,municipio,"Cuenca, Valladolid"
CARLOS-m,CARLOS,Male,567,Girona,7.346,‰,377,municipio,Girona
CARLOS-m,CARLOS,Male,568,Granada,12.269,‰,,municipio,"Huelva, Barcelona, Granada"
CARLOS-m,CARLOS,Male,569,León,13.929,‰,777,municipio,León
CARLOS-m,CARLOS,Male,570,Lugo,16.023,‰,736,municipio,Lugo
CARLOS-m,CARLOS,Male,571,Vitoria-Gasteiz,8.373,‰,1048,municipio,Araba/Álava
CARLOS-m,CARLOS,Male,572,Donostia/San Sebastián,7.458,‰,,municipio,
CARLOS-m,CARLOS,Male,578,Moraleja del Vino,12.009,‰,,municipio,
CARLOS-m,CARLOS,Male,579,Morales del Vino,17.946,‰,,municipio,
CARLOS-m,CARLOS,Male,580,Morales de Toro,16.632,‰,,municipio,
CARLOS-m,CARLOS,Male,590,"Perdigón, El",14.577,‰,,municipio,
CARLOS-m,CARLOS,Male,597,Puebla de Sanabria,27.108,‰,,municipio,
CARLOS-m,CARLOS,Male,602,Roales,15.238,‰,,municipio,"Zamora, Valladolid"
